origin,destination,avg_enroute_min
SBRF,SBTE,105
SBRF,SBUL,175
SBRF,SBVT,140
SBRF,SNHS,100
SBRF,SNRU,50
SBRF,SNTS,80
SBRF,SUMU,325
SBRJ,SBCF,62
SBRJ,SBGR,66
SBRJ,SBKP,69
SBRJ,SBSP,66
SBRP,SBCF,90
SBRP,SBKP,55
SBRP,SBMO,160
SBRP,SBPS,100
SBRP,SBRF,170
SBRP,SBSG,185
SBSG,SBCF,165
SBSG,SBDN,220
SBSG,SBKP,209
SBSG,SBRF,60
SBSG,SBRP,195
SBSG,SBSP,215
SBSG,SBSR,200
SBSG,SBUL,185
SBSI,SBCY,65
SBSI,SBKP,140
SBSL,SBBE,67
SBSL,SBCF,170
SBSL,SBIZ,70
SBSL,SBKP,207
SBSL,SBRF,113
SBSM,SBPA,55
SBSN,SBBE,88
SBSN,SBEG,98
SBSN,SBTB,50
SBSO,SBKP,134
SBSP,SBBR,107
SBSP,SBCF,76
SBSP,SBCT,61
SBSP,SBFI,105
SBSP,SBFZ,209
SBSP,SBJP,190
SBSP,SBMO,174
SBSP,SBPA,102
SBSP,SBPS,124
SBSP,SBRF,187
SBSP,SBRJ,61
SBSP,SBSG,203
SBSP,SBTC,125
SBSR,SBCF,105
SBSR,SBCY,150
SBSR,SBKP,70
SBSR,SBMO,165
SBSR,SBPS,118
SBSR,SBRF,182
SBSR,SBSG,190
SBSV,SBAR,55
SBSV,SBCF,104
SBSV,SBIL,55
SBSV,SBKP,148
SBSV,SBLE,70
SBSV,SBPS,77
SBSV,SBRF,77
SBSV,SBVC,75
SBSV,SNBR,130
SBSV,SNGI,100
SBTB,SBEG,80
SBTB,SBSN,45
SBTC,SBCF,90
SBTC,SBSP,139
SBTE,SBCF,153
SBTE,SBKP,190
SBTE,SBRF,99
SBTF,SBEG,65
SBTL,SSUM,80
SBTT,SBEG,110
SBTU,SNEB,80
SBUA,SBEG,95
SBUG,SBPA,95
SBUL,SBCF,80
SBUL,SBJP,170
SBUL,SBKP,88
SBUL,SBMO,150
SBUL,SBPS,100
SBUL,SBRF,165
SBUL,SBSG,170
SBUR,SBCF,80
SBVC,SBCF,83
SBVC,SBSV,70
SBVG,SBCF,78
SBVH,SBCY,65
SBVH,SBKP,160
SBVT,SBCF,61
SBVT,SBKP,100
SBVT,SBRF,135
SBZM,SBKP,93
SDOW,SBBE,165
SDOW,SBCJ,45
SGAS,SBCT,100
SIMK,SBBT,45
SJZA,SBRF,105
SNAB,SBRF,35
SNBR,SBCF,135
SNBR,SBSV,120
SNDV,SBCF,45
SNEB,SBBE,63
SNGI,SBCF,100
SNGI,SBSV,90
SNGN,SBRF,55
SNHS,SNAB,185
SNJM,SBCF,65
SNLN,SBCF,110
SNMZ,SNVS,65
SNPD,SBCF,90
SNRU,SNGN,30
SNSM,SBBE,55
SNTO,SBCF,90
SNTS,SJZA,45
SNVS,SBBE,75
SNZR,SBCF,110
SSGY,SBCT,125
SSKW,SBCY,85
SSKW,SBKP,172
SSOU,SBCY,170
SSUM,SBCT,107
