origin,destination,avg_enroute_min
MMML,MMLM,82.3
MMMX,KLAS,196
MMML,MMHO,52.5
MMHO,MMML,54.6
KLAS,MMMX,181
MMML,MMPR,128.9
MMPR,MMML,306.2
MMML,MMSD,99.7
MMSD,MMML,99.5
MMMM,MMML,161
MMML,MMMM,149.6
MMMD,MMOX,72
MMOX,MMMD,78.7
MMCL,MMSD,36
MMSD,MMCL,1385
MMMX,KSAT,95
MMQT,MMPR,50.5
MMMM,MMQT,19
MMPR,MMQT,50.5
KSAT,MMMX,92.8
MMQT,MMZH,39.6
MMZH,MMQT,35.4
MMMX,KDEN,195.1
KDEN,MMMX,175.2
MMTO,MMMX,28
MMMX,KOAK,239.2
MMLO,KMDW,209.4
KMDW,MMLO,1094.2
KOAK,MMMX,226.7
MMLO,KOAK,214.4
KOAK,MMLO,205.6
MMLO,KLAX,176.4
KLAX,MMLO,168.4
MMLO,KORD,211.2
KORD,MMLO,202.5
MMLO,KFAT,198.5
KFAT,MMLO,187.5
MMLO,KSMF,219.4
KSMF,MMLO,208.7
MMMM,KMDW,216
KMDW,MMMM,209.2
MMMM,KMDW,216
KMDW,MMMM,208.4
MMMM,KLAX,185.1
KLAX,MMMM,174.3
MMMM,KLAX,184
MMMM,KOAK,222.2
KOAK,MMMM,213.4
MMMX,KMCO,162.3
MMMM,KSJC,222.3
KSJC,MMMM,208.9
KMCO,MMMX,168.9
MMMM,KFAT,206.3
KFAT,MMMM,197.4
MMMX,KMCO,1598
MMMM,KORD,217.9
KORD,MMMM,207.5
KMCO,MMMX,182
MMZC,KMDW,196.4
KMDW,MMZC,193.1
MMZC,KLAX,158.6
KLAX,MMZC,146.9
MMZC,KLAX,158.5
KLAX,MMZC,146.4
MMAS,KMDW,202.5
KMDW,MMAS,204.5
MMOX,KLAX,223.5
KLAX,MMOX,1265
MMAS,KLAX,166.5
KLAX,MMAS,157.7
KCOS,KDEN,25
MMCU,KDEN,102.7
KDEN,MMCU,106
MMDO,KMDW,191.8
KMDW,MMDO,193.5
MMZC,KSJC,195.8
KSJC,MMZC,180.6
MMZC,KOAK,203.5
KOAK,MMZC,184.8
MMPN,KLAX,183.4
KLAX,MMPN,173.8
MMCL,KPHX,96.7
KPHX,MMCL,91.3
MMQT,KORD,214
KORD,MMQT,199
MMQT,KLAX,186.4
KLAX,MMQT,174.4
MMMX,KMIA,168.2
MMLO,KONT,171
KONT,MMLO,161.5
MMMM,KDFW,129.3
KDFW,MMMM,115.9
KMIA,MMMX,1405.8
KOAK,MMSD,162.2
MMSD,KOAK,162.5
KDFW,MMSP,96.5
MMSP,KDFW,106
MMMM,KIAH,111.5
KIAH,MMMM,99.8
KIAH,MMSP,83.9
MMSP,KIAH,95
MMMM,KONT,183.3
KONT,MMMM,169.3
MMMM,MMPR,45.2
MMPR,MMMM,44.5
MMMM,KSAT,96
KSAT,MMMM,89.4
MMMM,KSMF,231.1
KSMF,MMMM,213.8
MMMM,MMZH,30.3
MMZH,MMMM,27.7
KONT,MMSD,119
MMSD,KONT,118.5
KSAT,MMSP,69.3
MMSP,KSAT,73.4
MMEP,KLAX,157.1
KLAX,MMEP,147.7
MMGL,MMEP,24
KIAH,KDFW,44
MMMX,KDFW,171.7
KDFW,MMMX,120.8
MMMM,MMTJ,168
MMMX,KSMF,245.6
MMTJ,MMGL,154
KSMF,MMMX,228.8
MMSP,MMTJ,154
KORD,MMGL,210
MMMM,KFAT,203
KFAT,MMMM,199
KSMF,MMGL,217
