origin,destination,avg_enroute_min
SBGR,SBTE,190
SBGR,SBTE,191
SBGR,SBTE,191
SBGR,SBUR,73
SBGR,SBUL,77
SBGR,SBUL,78
SBGR,SBTC,125
SBGR,BR-0569,110
SBGR,BR-0569,115
SBGR,BR-0569,115
SBGR,SBVT,89
SBGR,SBVT,89
SBGR,SBVT,88
SBGR,SBCH,94
SBGO,SBBR,45
SBGO,SBBR,47
SBGO,SBBR,46
SBGO,SBSP,104
SBGO,SBSP,102
SBGO,SBGR,105
SBGO,SBGR,107
SBGO,SBGR,106
SBFI,SBBR,120
SBFI,SBBR,120
SBFI,SBSP,100
SBFI,SBSP,103
SBFI,SBCT,70
SBFI,SBCT,70
SBFI,SBGL,115
SBFI,SBGL,115
SBFI,SBGR,100
SBFI,SBGR,104
SBFI,SBGR,102
SBIZ,SBBR,120
SBIZ,SBGR,185
SBIZ,SBGR,185
SBIL,SBSP,142
SBIL,SBGR,130
SBIL,SBGR,132
SBJU,SBFZ,60
SBJU,SBFZ,60
SBJU,SBGR,185
SBJU,SBGR,185
KJFK,SBGR,571
SBJE,SBGR,213
SBJE,SBGR,211
SBJA,SBGR,101
SBJA,SBGR,96
FAOR,SBGR,596
SBJV,SBSP,60
SBJV,SBSP,63
SBJV,SBGR,74
SBJV,SBGR,75
SBJP,SBBR,165
SBJP,SBBR,165
SBJP,SBBR,166
SBJP,SBSP,210
SBJP,SBSP,210
SBJP,SBGL,189
SBJP,SBGL,190
SBJP,SBGR,205
SBJP,SBGR,209
SBJP,SBGR,207
KLAX,SBGR,710
SBLO,SBSP,79
SBLO,SBSP,80
SBLO,SBGR,79
SBLO,SBGR,77
EGLL,SBGR,695
SPIM,SBGR,300
SPIM,SBGR,297
SPIM,SBGR,287
LPPT,SBFZ,419
LPPT,SBGR,610
LPPT,SBGR,614
SBMA,SBBR,120
SBMA,SBBR,121
LEMD,SBGR,632
SBEG,SBBE,135
SBEG,SBBE,135
SBEG,SBBR,180
SBEG,SBBR,180
SBEG,SBFZ,205
SBEG,SBFZ,205
SBEG,SBGL,252
SBEG,SBGL,253
SBEG,SBGR,241
SBEG,SBGR,245
KMCO,SBGR,515
SBMQ,SBBE,58
SBMQ,SBBR,165
SBMQ,SBBR,165
SBMQ,SBGR,239
SBMO,SBBR,150
SBMO,SBBR,150
SBMO,SBSP,170
SBMO,SBSP,173
SBMO,SBGR,185
SBMO,SBGR,184
SBMO,SBGR,185
SAME,SBGR,207
MMMX,SBGR,554
SBMG,SBSP,80
SBMG,SBSP,77
SBMG,SBGR,85
SBMG,SBGR,85
SBMG,SBGR,82
KMIA,SBGR,500
KMIA,SBGR,500
SBMK,SBGR,90
SBMK,SBGR,91
SUMU,SBGL,175
SUMU,SBGR,156
SUMU,SBGR,156
SUMU,SBSV,243
LIMC,SBGR,724
SBSG,SBBR,169
SBSG,SBBR,170
SBSG,SBSP,217
SBSG,SBSP,219
SBSG,SBFZ,65
SBSG,SBFZ,65
SBSG,SBGR,215
SBSG,SBGR,215
SBSG,SBGR,215
SBNF,SBSP,68
SBNF,SBSP,68
SBNF,SBGR,82
SBNF,SBGR,80
SBSI,SBBR,105
SBSI,SBBR,105
SBSI,SBGR,160
SBSI,SBGR,159
SBPK,SBGR,132
SBPF,SBGR,107
SBPB,SBFZ,60
SBPJ,SBBR,80
SBPJ,SBBR,78
SBPJ,SBGR,146
SBPJ,SBGR,147
SBPJ,SBGR,146
SBPL,SBGR,165
SBPL,SBGR,165
SBPL,SBGR,165
SBPA,SABE,119
SBPA,SBBR,150
SBPA,SBBR,150
SBPA,SBSP,96
SBPA,SBSP,96
SBPA,SBCF,130
SBPA,SBCF,130
SBPA,SBCT,70
SBPA,SBFL,63
SBPA,SBGL,111
SBPA,SBGL,110
SBPA,SBGR,110
SBPA,SBGR,106
SBPA,SBGR,107
SBPV,SBBR,168
SBPV,SBBR,170
SBPV,SBGR,235
SBPV,SBGR,233
SBRP,SBSP,63
SBRP,SBSP,61
SBRP,SBGR,60
SBRP,SBGR,61
SBRB,SBBR,195
SBRB,SBBR,200
SBRB,SBGR,230
SBRB,SBGR,231
SBRB,SBGR,238
SBRF,SBBR,161
SBRF,SBBR,161
SBRF,SBSP,207
SBRF,SBSP,207
SBRF,SAEZ,320
SBRF,SBFZ,85
SBRF,SBFZ,85
SBRF,SBGR,197
SBRF,SBGR,198
SBRF,SBGR,199
SBRF,SCEL,390
SAAR,SBGR,165
SCEL,SBBR,260
SCEL,SBBR,258
SCEL,SBFZ,373
SCEL,SBGL,240
SCEL,SBGR,236
SCEL,SBGR,235
SCEL,SBRF,365
SBRJ,SBBR,107
SBRJ,SBSP,70
SBRJ,SBSP,70
SBRJ,SBGR,70
SBSR,SBSP,65
SBSR,SBSP,67
SBSR,SBGR,74
SBSL,SBBR,150
SBSL,SBBR,150
SBSL,SBBR,150
SBSL,SBSP,215
SBSL,SBFZ,80
SBSL,SBFZ,80
SBSL,SBGL,200
SBSL,SBGL,200
SBSL,SBGR,219
SBSL,SBGR,215
SBSL,SBGR,216
SBSV,SBBR,117
SBSV,SBBR,117
SBSV,SBBR,117
SBSV,SBSP,160
SBSV,SBSP,161
SBSV,SBFZ,110
SBSV,SBFZ,110
SBSV,SBFZ,110
SBSV,SBGL,130
SBSV,SBGL,130
SBSV,SBGR,154
SBSV,SBGR,153
SBSV,SBGR,154
SBSN,SBBR,155
SBSN,SBBR,155
SBTE,SBBR,137
SBTE,SBBR,137
SBTE,SBBR,138
SBTE,SBFZ,70
SBTE,SBFZ,70
SBTE,SBFZ,70
SBTE,SBGR,195
SBTE,SBGR,192
SBTE,SBGR,191
SBUR,SBGR,82
SBUL,SBSP,80
SBUL,SBSP,80
SBUL,SBGR,83
SBUL,SBGR,88
SBTC,SBGR,136
SBKP,SBBR,95
SBKP,SBBR,95
SBKP,SBBR,95
BR-0569,SBGR,130
BR-0569,SBGR,123
BR-0569,SBGR,119
SBVT,SBBR,105
SBVT,SBBR,109
SBVT,SBBR,110
SBVT,SBSP,104
SBVT,SBSP,103
SBVT,SBGL,67
SBVT,SBGL,67
SBVT,SBGR,97
SBVT,SBGR,97
SBVT,SBGR,98
SBCH,SBGR,95
SABE,SCEL,136
NZAA,SCEL,663
NZAA,SCEL,664
SCFA,SCIE,142
SCFA,SCIE,141
SCFA,SCEL,112
SCFA,SCEL,112
SCAR,SCEL,149
SCAR,SCEL,149
SCBA,SCTE,68
SCBA,SCTE,68
SCBA,SCEL,142
SCBA,SCEL,142
SKBO,SCEL,345
SCIE,SCFA,141
SCIE,SCFA,140
SCIE,SCCF,147
SCIE,SCCF,149
SCIE,SCEL,67
SCIE,SCEL,67
SCCF,SCFA,43
SCCF,SCIE,152
SCCF,SCIE,152
SCCF,SCEL,125
SCCF,SCEL,125
SBCF,SCEL,288
SACO,SCEL,90
SACO,SCEL,90
SCAT,SCEL,75
SCAT,SCEL,75
MMUN,SCEL,464
MMUN,SCEL,465
SBCT,SCEL,218
SAEZ,SBGL,155
SAEZ,SBGL,155
SAEZ,SBGR,158
SAEZ,SBGR,156
SAEZ,KMIA,540
SAEZ,SCEL,137
SAEZ,SCEL,137
SAEZ,SCEL,131
SBFL,SCEL,220
SBFL,SCEL,220
SBGL,SAEZ,190
SBGL,SAEZ,190
SBGL,SCEL,271
SBGL,SCEL,267
SBGR,SABE,170
SBGR,SAEZ,171
SBGR,SAEZ,170
SBGR,LEMD,605
SBGR,LEMD,605
SBGR,SUMU,160
SBGR,SUMU,160
SBGR,SCEL,252
SBGR,SCEL,251
SBGR,SCEL,245
SBGR,SCEL,246
SCIP,SCEL,278
SCIP,SCEL,279
SCDA,SCEL,134
SCDA,SCEL,134
KJFK,SCEL,630
KJFK,SCEL,631
KLAX,SCEL,631
SPIM,SCEL,215
SPIM,SCEL,215
SCSE,SCFA,76
SCSE,SCEL,55
SCSE,SCEL,55
LEMD,SBGR,630
LEMD,SBGR,629
LEMD,SCEL,800
LEMD,SCEL,797
SAME,SCEL,56
SAME,SCEL,57
YMML,SCEL,760
SCPQ,SCEL,106
SCPQ,SCEL,106
KMIA,SAEZ,537
KMIA,MDPC,141
KMIA,MDPC,140
KMIA,SCEL,489
KMIA,SCEL,494
EGYP,SCCI,101
EGYP,SAWG,90
SUMU,SBGR,158
SUMU,SBGR,157
SUMU,SCEL,153
SUMU,SCEL,152
SAZN,SCEL,82
SCTE,SCBA,68
SCTE,SCBA,67
SCTE,SCCI,132
SCTE,SCCI,132
SCTE,SCEL,102
SCTE,SCEL,103
SCNT,SCEL,186
SBPA,SCEL,199
SBPA,SCEL,195
MDPC,KMIA,164
MDPC,SCEL,459
MDPC,SCEL,460
SCCI,EGYP,98
SCCI,SCTE,133
SCCI,SAWG,45
SCCI,SCEL,204
SCCI,SCEL,204
SAWG,EGYP,79
SAWG,SCCI,44
SCEL,SABE,126
SCEL,NZAA,753
SCEL,NZAA,751
SCEL,SCFA,120
SCEL,SCFA,120
SCEL,SCAR,160
SCEL,SCAR,160
SCEL,SCBA,141
SCEL,SCBA,141
SCEL,SKBO,374
SCEL,SCIE,68
SCEL,SCIE,68
SCEL,SCCF,127
SCEL,SCCF,127
SCEL,SBCF,256
SCEL,SACO,91
SCEL,SACO,92
SCEL,SCAT,91
SCEL,SCAT,91
SCEL,MMUN,490
SCEL,MMUN,492
SCEL,SBCT,200
SCEL,SAEZ,122
SCEL,SAEZ,122
SCEL,SAEZ,120
SCEL,SBFL,200
SCEL,SBFL,200
SCEL,SBGL,250
SCEL,SBGL,250
SCEL,SBGR,235
SCEL,SBGR,234
SCEL,SBGR,230
SCEL,SBGR,230
SCEL,SCIP,325
SCEL,SCIP,326
SCEL,SCDA,144
SCEL,SCDA,144
SCEL,KJFK,626
SCEL,KJFK,628
SCEL,KLAX,680
SCEL,SPIM,231
SCEL,SPIM,230
SCEL,SLLP,181
SCEL,SCSE,66
SCEL,SCSE,67
SCEL,LEMD,776
SCEL,LEMD,777
SCEL,SAME,63
SCEL,SAME,64
SCEL,YMML,847
SCEL,SCPQ,114
SCEL,SCPQ,113
SCEL,KMIA,512
SCEL,KMIA,510
SCEL,SUMU,134
SCEL,SUMU,132
SCEL,SAZN,89
SCEL,SCTE,104
SCEL,SCTE,104
SCEL,SCNT,198
SCEL,SBPA,184
SCEL,SBPA,180
SCEL,MDPC,472
SCEL,SCCI,204
SCEL,SCCI,205
SCEL,YSSY,892
SCEL,SLVR,184
SCEL,SCVD,93
SCEL,SCVD,93
SCEL,SCQP,84
SCEL,SCQP,84
SCEL,SCJO,99
SCEL,SCJO,100
YSSY,SCEL,761
SAWH,SCEL,222
SLVR,SCEL,183
SCVD,SCEL,89
SCVD,SCEL,88
SCQP,SCEL,82
SCQP,SCEL,82
SCJO,SCEL,95
SCJO,SCEL,97
SABE,SBGR,150
SABE,SBGR,150
SABE,SPIM,294
SABE,SPIM,293
SABE,SCEL,136
SCFA,SPIM,145
SCFA,SPIM,148
SPQU,SPZO,60
SPQU,SPZO,60
SPQU,SPIM,95
SPQU,SPIM,94
SPHZ,SPIM,56
KATL,SPIM,405
TNCA,SPIM,245
TNCA,SPIM,245
SPHO,SPIM,55
SPHO,SPIM,54
SKBO,SPIM,180
SKBO,SPIM,180
SKBO,SPIM,186
SBBR,SPIM,275
SBBR,SPIM,277
SPHI,SPIM,80
SPHI,SPIM,80
SPJR,SPIM,64
SPJR,SPIM,64
SACO,SPIM,225
SACO,SPIM,226
SKCG,SPIM,220
SKCG,SPIM,220
MMUN,SPIM,315
MMUN,SPIM,315
TNCC,SPIM,275
SPZO,SPQU,66
SPZO,SPQU,65
SPZO,SPIM,93
SPZO,SPIM,93
SPZO,SPTU,55
SPZO,SPTU,55
SPZO,SCEL,196
SBCT,SPIM,285
SBCT,SPIM,286
SAEZ,SPIM,283
SAEZ,SPIM,281
SBFL,SPIM,310
SBFL,SPIM,310
SBGL,SPIM,338
SBGL,SPIM,335
SBGR,SABE,180
SBGR,SABE,180
SBGR,SPIM,305
SBGR,SPIM,303
MUHA,SPIM,315
SPQT,SPIM,107
SPQT,SPIM,108
SPJE,SPIM,75
SPJJ,SPIM,49
KJFK,SPIM,492
SPJL,SPIM,100
KLAX,SPIM,513
SPIM,SABE,265
SPIM,SABE,265
SPIM,SCFA,140
SPIM,SCFA,140
SPIM,SPQU,91
SPIM,SPQU,91
SPIM,SPHZ,65
SPIM,KATL,441
SPIM,TNCA,254
SPIM,TNCA,254
SPIM,SPHO,63
SPIM,SPHO,63
SPIM,SKBO,190
SPIM,SKBO,190
SPIM,SKBO,193
SPIM,SBBR,275
SPIM,SBBR,274
SPIM,SPHI,87
SPIM,SPHI,87
SPIM,SPJR,80
SPIM,SPJR,80
SPIM,SACO,221
SPIM,SACO,221
SPIM,SKCG,230
SPIM,SKCG,230
SPIM,MMUN,328
SPIM,MMUN,328
SPIM,TNCC,280
SPIM,SPZO,87
SPIM,SPZO,87
SPIM,SBCT,275
SPIM,SBCT,274
SPIM,SAEZ,265
SPIM,SAEZ,265
SPIM,SBFL,280
SPIM,SBFL,280
SPIM,SBGL,311
SPIM,SBGL,317
SPIM,SBGR,300
SPIM,SBGR,298
SPIM,SPQT,113
SPIM,SPQT,113
SPIM,SPJE,85
SPIM,SPJJ,51
SPIM,KJFK,485
SPIM,SPJL,98
SPIM,KLAX,540
SPIM,SLLP,115
SPIM,SLLP,115
SPIM,LEMD,685
SPIM,LEMD,684
SPIM,MKJS,286
SPIM,MKJS,285
SPIM,KMCO,383
SPIM,SKRG,190
SPIM,SKRG,190
SPIM,SAME,216
SPIM,SAME,215
SPIM,MMMX,365
SPIM,KMIA,356
SPIM,SUMU,275
SPIM,SUMU,274
SPIM,SPCL,78
SPIM,SPCL,78
SPIM,SPTU,104
SPIM,SPTU,105
SPIM,SPUR,102
SPIM,SPUR,101
SPIM,SBPA,280
SPIM,SBPA,278
SPIM,MDPC,296
SPIM,MDPC,295
SPIM,SAAR,240
SPIM,SAAR,239
SPIM,SCEL,215
SPIM,SCEL,215
SPIM,SCEL,220
SPIM,SCEL,219
SPIM,MROC,230
SPIM,MROC,231
SPIM,SASA,170
SPIM,SASA,171
SPIM,SPME,111
SPIM,SPME,113
